source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
src,products,product_id,tgt,products,product_id,type_cast,string
src,products,product_name,tgt,products,product_name,type_cast,string
src,products,category,tgt,products,category,type_cast,string
src,products,standard_price,tgt,products,standard_price,type_cast,float
src,products,,tgt,products,_load_timestamp,metadata_inject,utc_now
src,products,,tgt,products,_source_file,metadata_inject,source_path
src,sales_data,transaction_id,tgt,sales_data,transaction_id,type_cast,string
src,sales_data,transaction_date,tgt,sales_data,transaction_date,type_cast,string
src,sales_data,store_id,tgt,sales_data,store_id,type_cast,string
src,sales_data,product_id,tgt,sales_data,product_id,type_cast,string
src,sales_data,product_name,tgt,sales_data,product_name,type_cast,string
src,sales_data,category,tgt,sales_data,category,type_cast,string
src,sales_data,quantity,tgt,sales_data,quantity,type_cast,integer
src,sales_data,unit_price,tgt,sales_data,unit_price,type_cast,float
src,sales_data,total_amount,tgt,sales_data,total_amount,type_cast,float
src,sales_data,customer_segment,tgt,sales_data,customer_segment,type_cast,string
src,sales_data,payment_method,tgt,sales_data,payment_method,type_cast,string
src,sales_data,,tgt,sales_data,_load_timestamp,metadata_inject,utc_now
src,sales_data,,tgt,sales_data,_source_file,metadata_inject,source_path
src,stores,store_id,tgt,stores,store_id,type_cast,string
src,stores,store_name,tgt,stores,store_name,type_cast,string
src,stores,region,tgt,stores,region,type_cast,string
src,stores,city,tgt,stores,city,type_cast,string
src,stores,state,tgt,stores,state,type_cast,string
src,stores,,tgt,stores,_load_timestamp,metadata_inject,utc_now
src,stores,,tgt,stores,_source_file,metadata_inject,source_path
