source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
src,products,product_id,silver,products,product_id,surrogate_key,generate_uuid
src,products,product_name,silver,products,product_name,null_handler,drop_nulls
src,products,category,silver,products,category,normalize_category,lowercase_trim
src,products,standard_price,silver,products,standard_price,null_handler,fill_median
src,products,_load_timestamp,silver,products,_load_timestamp,null_handler,drop_nulls
src,products,_source_file,silver,products,_source_file,null_handler,drop_nulls
src,sales_data,transaction_id,silver,sales_data,transaction_id,surrogate_key,generate_uuid
src,sales_data,transaction_date,silver,sales_data,transaction_date,standardize_date,mm/dd/yyyy_to_iso
src,sales_data,store_id,silver,sales_data,store_id,null_handler,drop_nulls
src,sales_data,product_id,silver,sales_data,product_id,null_handler,drop_nulls
src,sales_data,product_name,silver,sales_data,product_name,null_handler,drop_nulls
src,sales_data,category,silver,sales_data,category,normalize_category,lowercase_trim
src,sales_data,quantity,silver,sales_data,quantity,null_handler,fill_median
src,sales_data,unit_price,silver,sales_data,unit_price,null_handler,fill_median
src,sales_data,total_amount,silver,sales_data,total_amount,null_handler,fill_median
src,sales_data,customer_segment,silver,sales_data,customer_segment,normalize_segment,standardize_loyalty_labels
src,sales_data,payment_method,silver,sales_data,payment_method,null_handler,fill_unknown
src,sales_data,_load_timestamp,silver,sales_data,_load_timestamp,null_handler,drop_nulls
src,sales_data,_source_file,silver,sales_data,_source_file,null_handler,drop_nulls
src,stores,store_id,silver,stores,store_id,surrogate_key,generate_uuid
src,stores,store_name,silver,stores,store_name,null_handler,drop_nulls
src,stores,region,silver,stores,region,null_handler,drop_nulls
src,stores,city,silver,stores,city,null_handler,drop_nulls
src,stores,state,silver,stores,state,null_handler,drop_nulls
src,stores,_load_timestamp,silver,stores,_load_timestamp,null_handler,drop_nulls
src,stores,_source_file,silver,stores,_source_file,null_handler,drop_nulls
src,products,product_id,silver,products,product_id,dedup,remove_duplicates
src,sales_data,transaction_id,silver,sales_data,transaction_id,dedup,remove_duplicates
src,stores,store_id,silver,stores,store_id,dedup,remove_duplicates
