source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
raw,products,product_id,analytics,dim_products,product_id,surrogate_key,GENERATE_UUID()
raw,products,product_name,analytics,dim_products,product_name,null_handler,drop_nulls
raw,products,category,analytics,dim_products,category,normalize_category,lowercase_trim
raw,products,standard_price,analytics,dim_products,standard_price,null_handler,fill_median
raw,products,,analytics,dim_products,_load_timestamp,null_handler,drop_nulls
raw,products,,analytics,dim_products,_source_file,null_handler,drop_nulls
raw,stores,store_id,analytics,dim_stores,store_id,surrogate_key,GENERATE_UUID()
raw,stores,store_name,analytics,dim_stores,store_name,null_handler,drop_nulls
raw,stores,region,analytics,dim_stores,region,null_handler,fill_unknown
raw,stores,city,analytics,dim_stores,city,null_handler,drop_nulls
raw,stores,state,analytics,dim_stores,state,null_handler,drop_nulls
raw,stores,,analytics,dim_stores,_load_timestamp,null_handler,drop_nulls
raw,stores,,analytics,dim_stores,_source_file,null_handler,drop_nulls
raw,sales_data,transaction_id,analytics,fact_sales,transaction_id,surrogate_key,GENERATE_UUID()
raw,sales_data,transaction_date,analytics,fact_sales,transaction_date,standardize_date,convert_to_yyyy-mm-dd
raw,sales_data,store_id,analytics,fact_sales,store_id,null_handler,drop_nulls
raw,sales_data,product_id,analytics,fact_sales,product_id,null_handler,drop_nulls
raw,sales_data,product_name,analytics,fact_sales,product_name,null_handler,drop_nulls
raw,sales_data,category,analytics,fact_sales,category,normalize_category,lowercase_trim
raw,sales_data,quantity,analytics,fact_sales,quantity,null_handler,fill_unknown
raw,sales_data,unit_price,analytics,fact_sales,unit_price,null_handler,fill_unknown
raw,sales_data,total_amount,analytics,fact_sales,total_amount,null_handler,fill_unknown
raw,sales_data,customer_segment,analytics,fact_sales,customer_segment,normalize_segment,standardize_loyalty_labels
raw,sales_data,payment_method,analytics,fact_sales,payment_method,null_handler,fill_unknown
raw,sales_data,,analytics,fact_sales,_load_timestamp,null_handler,drop_nulls
raw,sales_data,,analytics,fact_sales,_source_file,null_handler,drop_nulls
raw,sales_data,,analytics,fact_sales,record_sk,surrogate_key,GENERATE_UUID()
